a1,gamma_1,gamma_2,reference_noise_level,max_abs_g_difference,rms_g_difference,l2_g_difference,relative_l2_difference,mean_rms_g,sigma_reference,snr_sep,snr_sep_rms
0.14,0.1,0.15848931924611143,0.002,0.0006049349904060364,0.00015571177987938904,0.0015571177987938904,0.008096700111043895,0.01923151132484186,3.8463022649683724e-05,40.48350055521948,4.048350055521948
0.14,0.15848931924611143,0.25118864315095807,0.002,0.0009279027581214905,0.0002384968272484392,0.002384968272484392,0.012529028071318308,0.019035540976591055,3.807108195318211e-05,62.64514035659153,6.264514035659153
0.14,0.25118864315095807,0.3981071705534973,0.002,0.0013594292104244232,0.0003487993467274618,0.003487993467274618,0.018608923801907092,0.0187436603234259,3.74873206468518e-05,93.04461900953545,9.304461900953546
0.14,0.3981071705534973,0.6309573444801934,0.002,0.0018198080360889435,0.00046613480096359476,0.0046613480096359475,0.025417966580100544,0.01833879195232426,3.6677583904648524e-05,127.08983290050267,12.708983290050268
0.14,0.6309573444801934,1.0,0.002,0.002124924212694168,0.0005440552018144416,0.005440552018144416,0.030501286318109656,0.017837123199994927,3.567424639998985e-05,152.5064315905483,15.250643159054828
0.155,0.01,0.015848931924611134,0.002,6.824731826782227e-05,1.761913897414757e-05,0.00017619138974147569,0.0008753555004167055,0.020127981106830457,4.0255962213660915e-05,4.376777502083527,0.4376777502083528
0.155,0.015848931924611134,0.025118864315095794,0.002,0.00010816752910614014,2.791862583077777e-05,0.00027918625830777773,0.0013886182935447912,0.0201053276919668,4.02106553839336e-05,6.9430914677239555,0.6943091467723955
0.155,0.025118864315095794,0.039810717055349734,0.002,0.0001713782548904419,4.4218534143547815e-05,0.00044218534143547814,0.002203276577750311,0.020069443205672263,4.013888641134453e-05,11.016382888751554,1.1016382888751555
0.155,0.039810717055349734,0.06309573444801933,0.002,0.0002712234854698181,6.994551800530722e-05,0.0006994551800530723,0.0034950643218454366,0.0200126554375901,4.00253108751802e-05,17.47532160922718,1.747532160922718
0.155,0.06309573444801933,0.1,0.002,0.0004279389977455139,0.00011027364718592445,0.0011027364718592446,0.005534987205328386,0.01992301754189548,3.9846035083790966e-05,27.674936026641923,2.767493602664192
0.155,0.1,0.15848931924611143,0.002,0.0006697475910186768,0.00017239516240289315,0.0017239516240289314,0.008714554912555003,0.019782440311957243,3.9564880623914484e-05,43.572774562775024,4.357277456277503
0.155,0.15848931924611143,0.25118864315095807,0.002,0.001027323305606842,0.0002640500812305425,0.0026405008123054252,0.013495748323250567,0.01956542719277265,3.91308543855453e-05,67.47874161625283,6.747874161625283
0.155,0.25118864315095807,0.3981071705534973,0.002,0.0015050843358039856,0.0003861705536945939,0.003861705536945939,0.020068932894823224,0.019242206634424816,3.8484413268849636e-05,100.34466447411612,10.034466447411612
0.155,0.3981071705534973,0.6309573444801934,0.002,0.0020147860050201416,0.0005160778504817849,0.005160778504817849,0.027459902751130465,0.01879387029003732,3.7587740580074646e-05,137.2995137556523,13.72995137556523
0.155,0.6309573444801934,1.0,0.002,0.002352595329284668,0.0006023470388786423,0.006023470388786424,0.03302640192486843,0.018238348829185756,3.647669765837151e-05,165.13200962434217,16.513200962434215
0.17,0.01,0.015848931924611134,0.002,7.484853267669678e-05,1.932392185154003e-05,0.0001932392185154003,0.0009329593510780786,0.020712501385200036,4.142500277040007e-05,4.664796755390393,0.46647967553903935
0.17,0.015848931924611134,0.025118864315095794,0.002,0.00011863559484481812,3.0620398970148106e-05,0.00030620398970148104,0.001480129334478396,0.020687650907843715,4.137530181568743e-05,7.40064667239198,0.7400646672391981
0.17,0.025118864315095794,0.039810717055349734,0.002,0.0001879557967185974,4.8497601522263755e-05,0.0004849760152226376,0.0023487470888984272,0.020648285952749958,4.129657190549992e-05,11.743735444492136,1.1743735444492136
0.17,0.039810717055349734,0.06309573444801933,0.002,0.0002974793314933777,7.67146861405671e-05,0.0007671468614056711,0.003726548279820985,0.020585990138910076,4.1171980277820156e-05,18.632741399104926,1.8632741399104924
0.17,0.06309573444801933,0.1,0.002,0.00046934932470321655,0.00012094524007472602,0.0012094524007472604,0.005903321906890278,0.0204876579631479,4.0975315926295805e-05,29.516609534451383,2.951660953445138
0.17,0.1,0.15848931924611143,0.002,0.0007345601916313171,0.00018907851211490148,0.0018907851211490147,0.009298891714538458,0.020333445954563007,4.0666891909126016e-05,46.49445857269229,4.649445857269229
0.17,0.15848931924611143,0.25118864315095807,0.002,0.0011267438530921936,0.0002896034930310674,0.0028960349303106736,0.014411443127761759,0.02009538465118626,4.019076930237252e-05,72.0572156388088,7.205721563880881
0.17,0.25118864315095807,0.3981071705534973,0.002,0.0016507357358932495,0.00042354204988596895,0.00423542049885969,0.021455144068039406,0.01974081593406297,3.948163186812594e-05,107.27572034019704,10.727572034019703
0.17,0.3981071705534973,0.6309573444801934,0.002,0.002209767699241638,0.0005660207162333637,0.0056602071623336365,0.02940520034089337,0.019249000505744122,3.8498001011488246e-05,147.02600170446684,14.702600170446685
0.17,0.6309573444801934,1.0,0.002,0.002580266445875168,0.0006606386097095961,0.006606386097095961,0.03544272083218159,0.018639613274547016,3.727922654909403e-05,177.21360416090798,17.721360416090796
0.185,0.01,0.015848931924611134,0.002,8.145719766616821e-05,2.102933260003886e-05,0.0002102933260003886,0.000987427063156959,0.021297099689373298,4.25941993787466e-05,4.937135315784794,0.4937135315784795
0.185,0.015848931924611134,0.025118864315095794,0.002,0.00012909621000289917,3.33219145118597e-05,0.00033321914511859704,0.0015666118411608644,0.021270051480759944,4.254010296151989e-05,7.833059205804322,0.7833059205804321
0.185,0.025118864315095794,0.039810717055349734,0.002,0.00020454823970794678,5.277725095981402e-05,0.0005277725095981402,0.002486302392584741,0.021227205153009243,4.245441030601849e-05,12.431511962923704,1.2431511962923703
