state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_trigger_grid,recovery_alias_a1_grid,recovery_alias_m_grid,recovery_alias_gamma_grid
36395,0.08308367901481689,0.025,0.0,0.4146662846207619,0.4966603663261546,0.00652293023996021,m_high,0.07931390606835383,0.448,0.41686938347033553
36396,0.05824458133429289,0.025,0.0,1.0728659003973007,0.21601768722181125,0.005591524461152435,gamma_low,0.05687592089703463,1.096,0.16595869074375605
36397,0.1853189493529499,0.025,0.0,0.5086630284786224,0.05717369402901216,0.0036342311967232175,gamma_high,0.1865306952873833,0.504,0.06918309709189363
36398,0.14345220034010708,0.025,0.0,0.8883140116930008,0.5890104087424941,0.01008462613788104,m_high,0.1396162586992142,0.92,0.5248074602497725
36399,0.12008876088075342,0.025,0.0,0.7307395577430725,0.02077933011697594,0.0015677450145600636,gamma_high,0.12055146799793198,0.728,0.028840315031266057
36400,0.12249916251748802,0.025,0.0,0.8504631146788597,0.15548530026546026,0.0075174631667921515,gamma_low,0.12078214357059083,0.8640000000000001,0.12589254117941676
36401,0.13633539555594326,0.025,0.0,0.7177910044789314,0.044264702136791456,0.0029589912919223815,gamma_high,0.1373942070098402,0.712,0.06025595860743578
36402,0.1875960477162153,0.025,0.0,1.0850396916270255,0.42774543060174924,0.012909082042926096,a1_low,0.18214952056960412,1.12,0.3630780547701014
36403,0.051298886118456725,0.025,0.0,0.5457391634583473,0.016237075709853253,0.0005210900509918705,gamma_high,0.05142100692297781,0.544,0.020892961308540396
36404,0.08065897198393941,0.025,0.0,1.1914387315511703,0.06638273569079782,0.003641431798296292,gamma_high,0.08145299225020829,1.1840000000000002,0.08709635899560805
36405,0.17931086458265783,0.025,0.0,0.4276142776012421,0.18771972060543446,0.006103583247857324,a1_high,0.18550814444293584,0.40800000000000003,0.2398832919019491
36406,0.14681905969046058,0.025,0.0,0.9697407990694046,0.01826268143096297,0.0014403109498981397,gamma_high,0.14713279067910884,0.9680000000000001,0.022908676527677724
36407,0.09562809565104545,0.025,0.0,0.6117879271507263,0.6885619166728643,0.004324826673414904,m_low,0.09964394867672566,0.5680000000000001,0.7943282347242817
36408,0.1048832389060408,0.025,0.0,1.044517733156681,0.02423090235660345,0.0022184890815676243,gamma_low,0.10437933969370813,1.048,0.013803842646028852
36409,0.1562218317296356,0.025,0.0,0.5864550039172173,0.9145119514606767,0.011828549489990093,a1_low,0.1441254908955626,0.68,0.6918309709189366
36410,0.16998247914016248,0.025,0.0,0.81617923527956,0.08887074293347924,0.004560184147827797,gamma_high,0.17168663921900243,0.808,0.1096478196143185
36411,0.07118295775726438,0.025,0.0,0.7522693380713463,0.2516207538431202,0.004679964777584307,gamma_low,0.06939369908053171,0.776,0.19952623149688797
36412,0.06069936486892403,0.025,0.0,0.9104704618453979,0.31915997584845307,0.004254380297366776,m_low,0.062449011191483536,0.88,0.38018939632056126
36413,0.19685347531922165,0.025,0.0,0.6712553888559342,0.012126726776430938,0.00048675682060989094,gamma_low,0.1966526319663024,0.672,0.01
36414,0.12686167461797598,0.025,0.0,1.1259062826633452,0.11705244355948083,0.005966569975871067,gamma_low,0.12531768679557112,1.1360000000000001,0.09120108393559097
36415,0.11316849272698165,0.025,0.0,0.4933440417051316,0.03336675819522875,0.001216273490988145,gamma_low,0.11266497159976945,0.496,0.025118864315095794
36416,0.11192907858639957,0.025,0.0,1.0032081335783003,0.1086418779513511,0.006338436546117667,gamma_low,0.11021173943099791,1.016,0.07585775750291836
36417,0.12577568283304574,0.025,0.0,0.5642859995365143,0.041141687705126564,0.0016894572069799045,gamma_low,0.1250723562249585,0.5680000000000001,0.03019951720402016
36418,0.1958223816473037,0.025,0.0,0.8315100103616715,0.3984318735124947,0.011653400054834145,a1_low,0.18976837459152154,0.8640000000000001,0.3311311214825911
36419,0.05951484884135426,0.025,0.0,0.7984594583511353,0.011318966007984746,0.0019950248413817253,gamma_high,0.060004008304389504,0.792,0.028840315031266057
36420,0.0724704728461802,0.025,0.0,0.9386912569403648,0.08229999457296673,0.003519821888519065,gamma_high,0.07341522426701533,0.928,0.1096478196143185
36421,0.1711303047835827,0.025,0.0,0.6811167791485786,0.3109523113306394,0.012519677591047407,a1_low,0.16518995132415912,0.712,0.2398832919019491
36422,0.1573513088282198,0.025,0.0,1.1232676431536674,0.030181669623235177,0.002883845147443846,gamma_high,0.1580580023623755,1.12,0.039810717055349734
36423,0.10615240545012058,0.025,0.0,0.4590647473931313,0.8555307259115311,0.005771022238779656,a1_low,0.09938789365975874,0.52,0.6918309709189366
36424,0.09665697650052607,0.025,0.0,0.8972394824028015,0.022521332440406647,0.0024929592948469384,gamma_high,0.09688702396017855,0.896,0.02754228703338166
36425,0.14800579748116435,0.025,0.0,0.7329267293214798,0.6389947015081157,0.007410477204653276,a1_low,0.14259483716768895,0.776,0.5495408738576245
36426,0.1805524915456772,0.025,0.0,1.0626751124858855,0.06195233716430038,0.005368192858904062,gamma_high,0.18203734667651114,1.056,0.07943282347242814
36427,0.08174274200573564,0.025,0.0,0.5050151914358139,0.23437705367898318,0.005274565132702398,m_low,0.08569902471514258,0.47200000000000003,0.31622776601683794
36428,0.05016704420559109,0.025,0.0,1.1577454939484597,0.5286793860878027,0.006465112942922223,m_low,0.0517719289647853,1.12,0.6025595860743578
36429,0.18632923704572024,0.025,0.0,0.42478039711713794,0.015034476448067073,0.0019499308669296861,gamma_high,0.18667607254339671,0.42400000000000004,0.018197008586099836
36430,0.1350502452813089,0.025,0.0,0.9794068053364754,0.1454364124246246,0.006302664804056666,gamma_low,0.13309948592380805,0.992,0.1148153621496883
36431,0.12134898100048305,0.025,0.0,0.6405945405364036,0.055143305374209896,0.0030627492122402345,gamma_low,0.1201292853565537,0.648,0.034673685045253165
36432,0.11907132859341801,0.025,0.0,0.965800392627716,0.733651010628791,0.00762703416189375,a1_high,0.1249659004537015,0.896,0.8709635899560806
36433,0.14199767527170482,0.025,0.0,0.6018904715776443,0.019438770764075304,0.0010874176277068188,gamma_high,0.14240066362660894,0.6000000000000001,0.025118864315095794
36434,0.1839193894527853,0.025,0.0,1.1941145837306975,0.20004994848167115,0.019282262372862576,a1_high,0.19067173395420378,1.1600000000000001,0.2754228703338166
36435,0.05728211421519518,0.025,0.0,0.4360518306493759,0.07065613409700937,0.0018714478610371047,gamma_low,0.056837158854687896,0.44,0.057543993733715694
36436,0.08400723398663104,0.025,0.0,1.0762820854783057,0.017613662515641684,0.002300700269997609,gamma_high,0.08449765474526519,1.072,0.03019951720402016
36437,0.17358274585567418,0.025,0.0,0.5437198206782341,0.46357017330609596,0.009878150483570792,a1_high,0.18341526178987422,0.496,0.5754399373371569
36438,0.15042880550026894,0.025,0.0,0.8608705952763558,0.04803035062092185,0.0019927088491598238,gamma_low,0.14985164395804518,0.8640000000000001,0.039810717055349734
36439,0.08956422219052912,0.025,0.0,0.7216554984450341,0.16849352291618339,0.004474622889170672,gamma_high,0.09138150399260131,0.704,0.20892961308540398
36440,0.09918267512694001,0.025,0.0,1.1346349209547042,0.03615515419181473,0.004030471506266758,gamma_high,0.10005643670405685,1.1280000000000001,0.054954087385762455
36441,0.15961581617593767,0.025,0.0,0.4953343689441681,0.126999211651333,0.003851441296975067,gamma_low,0.15762986016304184,0.504,0.10471285480508996
36442,0.16403753510676328,0.025,0.0,0.9000828415155411,0.01314353914082063,0.0031891136222829894,gamma_high,0.16495123647549537,0.896,0.025118864315095794
