prebank_rank,state_id,a1,a2,a3,m,gamma,recovery_alias_margin_grid_verified,recovery_alias_margin_refined,refined_minus_grid_margin,alias_source_refined,alias_trigger_refined,alias_a1_refined,alias_m_refined,alias_gamma_refined,alias_delta_a1_refined,alias_delta_m_refined,alias_gamma_factor_refined
2339,34069,0.17629584777168933,0.025,0.0,0.5022567234933376,0.9772747298689877,0.012165021570326052,0.003414424852975449,-0.008750596717350602,continuous_direct_verified,m_high,0.17141213016189288,0.5322567234933376,0.893426340291514,0.004883717609796445,0.030000000000000027,1.0938503666123331
2340,22965,0.18062820681370795,0.025,0.0,0.6079093836247921,0.016573445325329186,0.004884732128527505,0.002330806351153472,-0.0025539257773740326,continuous_direct_verified,gamma_high,0.1816693014526223,0.6039546901391516,0.028138246050501085,0.0010410946389143583,0.003954693485640481,1.697790984201542
2341,40949,0.17825826196931305,0.025,0.0,0.5918912164866924,0.016477797882320684,0.004788730750403141,0.00230482535559757,-0.0024839053948055713,continuous_direct_verified,gamma_high,0.17923456912299104,0.5879456110313311,0.0274182801015762,0.0009763071536779966,0.003945605455361267,1.6639529321447588
2342,44141,0.1827184489462525,0.025,0.0,0.6405423358082771,0.014857655695208033,0.004663931991658908,0.004663841462372589,-9.052928631909929e-08,continuous_direct_verified,gamma_high,0.1830259322320352,0.639999987631514,0.018197008578220007,0.00030748328578270034,0.00054234817676313,1.2247563782278923
2343,1221,0.17044745627790692,0.025,0.0,0.639721117168665,0.013654476921787295,0.004655344135638306,0.002900652161592338,-0.0017546919740459676,continuous_direct_verified,gamma_high,0.17129241116737526,0.6358605637641946,0.0238357135183963,0.0008449548894683412,0.003860553404470335,1.7456335863268162
2344,13749,0.18045048392377794,0.025,0.0,0.6649928011000157,0.023633635298114825,0.005403793210453599,0.0009911071922951021,-0.004412686018158496,continuous_direct_verified,gamma_high,0.18086481670056478,0.6633159198571454,0.028360362357737794,0.00041433277678684655,0.0016768812428702429,1.2000000000000002
2345,21237,0.17865228769369423,0.025,0.0,0.6492518529295921,0.0273499382266268,0.005209024848836336,0.0011087991561630323,-0.004100225692673303,continuous_direct_verified,gamma_high,0.17913087794936816,0.6473027950242145,0.03281992587195216,0.00047859025567392743,0.0019490579053775825,1.2
2346,10357,0.1769506698474288,0.025,0.0,0.6566419422626495,0.01706331685821749,0.005088621962886105,0.0006763467345879853,-0.004412275228298119,continuous_direct_verified,gamma_low,0.1766719822276108,0.6577830029867899,0.013804488074436167,0.00027868761981800216,0.0011410607241404414,1.2360702378972084
2347,47445,0.17369130100123586,0.025,0.0,0.6091424576938153,0.027728234945128112,0.005058836168964635,0.0010402618301182044,-0.0040185743388464305,continuous_direct_verified,gamma_high,0.17417167848681028,0.6071833992307998,0.03327388193415374,0.00048037748557441806,0.001959058463015473,1.2000000000000002
2348,47813,0.17039721291512253,0.025,0.0,0.6639534898102284,0.03173988838687994,0.0050776645084773244,0.001062272464840563,-0.004015392043636761,continuous_direct_verified,gamma_low,0.169959885758614,0.6658413732973617,0.026449906989066612,0.0004373271565085157,0.0018878834871333128,1.2000000000000002
