state_index,a1,gamma,nearest_state,nearest_a1,nearest_gamma,snr_sep_rms,rms_g_difference,split,pool_candidate_index,remote_alias_rms_snr,remote_alias_a1,remote_alias_gamma
49,0.15563663840293884,0.014084777794778347,142,0.19939997792243958,0.4954501986503601,1.488974438396799,5.8691943350134896e-05,train,1470,0.030893446877598763,0.15673303604125977,0.02818382903933525
50,0.07452180236577988,0.7286181449890137,171,0.05375935882329941,0.021627185866236687,1.3352898206324342,4.224833162421165e-05,train,5923,0.45958638191223145,0.06302331387996674,0.364124596118927
51,0.06680765748023987,0.021134890615940094,155,0.10377514362335205,0.9914025068283081,1.4229640744805758,4.646132850389156e-05,train,17117,0.011860937811434269,0.06645774841308594,0.010562092997133732
52,0.07687047868967056,0.024974683299660683,151,0.07529786974191666,0.016884958371520042,1.4392336565936283,4.800158466818443e-05,train,18045,0.015801329165697098,0.07639430463314056,0.012481017969548702
53,0.05732400715351105,0.01080811582505703,160,0.09043855965137482,0.9885531067848206,1.3996703763499325,4.4767733760367055e-05,train,17322,0.010700301267206669,0.0576329305768013,0.021627185866236687
54,0.16178055107593536,0.021752040833234787,172,0.19636963307857513,0.4120975136756897,1.334106852559028,5.306502817939909e-05,train,15529,0.02425740286707878,0.16090834140777588,0.010870511643588543
55,0.1671091765165329,0.013567505404353142,145,0.16956166923046112,0.024057472124695778,1.4819980715635004,5.974895946492365e-05,train,7057,0.031237279996275902,0.16824261844158173,0.027148760855197906
56,0.05003120005130768,0.0949511006474495,140,0.07239033281803131,0.9467819929122925,1.50734314848017,4.705766274341343e-05,train,5169,0.09390908479690552,0.052542638033628464,0.18999841809272766
57,0.17324677109718323,0.01788545586168766,148,0.17168644070625305,0.017834050580859184,1.4538093032890094,5.907501208334127e-05,train,5566,0.04254140704870224,0.1748019903898239,0.03578903526067734
58,0.17885927855968475,0.012808551080524921,157,0.1803210824728012,0.011988090351223946,1.417976881993034,5.8433749816402606e-05,train,16790,0.030836885794997215,0.18000373244285583,0.025630082935094833
59,0.054221902042627335,0.44539979100227356,158,0.0684080496430397,0.9359443187713623,1.4440596116246418,4.470732399806528e-05,train,1324,0.46978628635406494,0.0656416192650795,0.8912509083747864
60,0.058814868330955505,0.888689398765564,161,0.05209380015730858,0.5324146747589111,1.3966956337933552,4.276622283714786e-05,train,2503,1.4654368162155151,0.05000000074505806,0.4441196620464325
61,0.19952374696731567,0.16264846920967102,162,0.18633200228214264,0.01277173776179552,1.3944656922407195,5.809763036388933e-05,train,5751,0.22776611149311066,0.19135431945323944,0.08128305524587631
62,0.19349998235702515,0.039582207798957825,164,0.19060330092906952,0.025336697697639465,1.3712125920505094,5.760199165978324e-05,train,3239,0.05049006640911102,0.19159448146820068,0.01978107914328575
63,0.19709482789039612,0.01291962806135416,165,0.19934898614883423,0.051138736307621,1.3665079487033933,5.804035882157588e-05,train,3120,0.03316468745470047,0.19836702942848206,0.025852348655462265
